Line - Token - Classification
6 - some - SOME
6 - MozzarellaTopping - CLASS_NAME
6 - , - COMMA
6 - hasTopping - PROPRIETY
6 - some - SOME
6 - TomatoTopping - CLASS_NAME
6 - , - COMMA
6 - hasTopping - PROPRIETY
6 - only - ONLY
6 - ( - LPAR
6 - MozzarellaTopping - CLASS_NAME
6 - or - LOGICAL
6 - TomatoTopping - CLASS_NAME
6 - ) - RPAR
6 - DisjointClasses: - DISJOINT
6 - AmericanaHotPizza - CLASS_NAME
6 - , - COMMA
6 - AmericanaPizza - CLASS_NAME
6 - , - COMMA
6 - MargheritaPizza - CLASS_NAME
6 - , - COMMA
6 - SohoPizza - CLASS_NAME
6 - Individuals: - INDIVIDUALS
6 - MargheritaPizza1 - INDIVIDUAL_NAME
6 - , - COMMA
6 - MargheritaPizza2 - INDIVIDUAL_NAME
6 - Class: - CLASS
6 - SohoPizza - CLASS_NAME
6 - SubClassOf: - SUBCLASS
6 - NamedPizza - CLASS_NAME
6 - , - COMMA
6 - hasTopping - PROPRIETY
6 - some - SOME
6 - MozzarellaTopping - CLASS_NAME
6 - , - COMMA
6 - hasTopping - PROPRIETY
6 - some - SOME
6 - OliveTopping - CLASS_NAME
6 - , - COMMA
6 - hasTopping - PROPRIETY
6 - some - SOME
6 - ParmesanTopping - CLASS_NAME
6 - , - COMMA
6 - hasTopping - PROPRIETY
6 - some - SOME
6 - TomatoTopping - CLASS_NAME
6 - , - COMMA
6 - hasTopping - PROPRIETY
6 - only - ONLY
6 - ( - LPAR
6 - MozzarellaTopping - CLASS_NAME
6 - or - LOGICAL
6 - OliveTopping - CLASS_NAME
6 - or - LOGICAL
6 - ParmesanTopping - CLASS_NAME
6 - or - LOGICAL
6 - TomatoTopping - CLASS_NAME
6 - ) - RPAR
6 - DisjointClasses: - DISJOINT
6 - AmericanaHotPizza - CLASS_NAME
6 - , - COMMA
6 - AmericanaPizza - CLASS_NAME
6 - , - COMMA
6 - MargheritaPizza - CLASS_NAME
6 - , - COMMA
6 - SohoPizza - CLASS_NAME
6 - Individuals: - INDIVIDUALS
6 - SohoPizza1 - INDIVIDUAL_NAME
6 - , - COMMA
6 - SohoPizza2 - INDIVIDUAL_NAME
6 - Class: - CLASS
6 - SpicyPizza - CLASS_NAME
6 - EquivalentTo: - EQUIVALENT
6 - Pizza - CLASS_NAME
6 - and - LOGICAL
6 - ( - LPAR
6 - hasTopping - PROPRIETY
6 - some - SOME
6 - ( - LPAR
6 - hasSpiciness - PROPRIETY
6 - value - QUANTIFIER
6 - Hot - CLASS_NAME
6 - ) - RPAR
6 - ) - RPAR
6 - Class: - CLASS
6 - VegetarianPizza - CLASS_NAME
6 - EquivalentTo: - EQUIVALENT
6 - Pizza - CLASS_NAME
6 - and - LOGICAL
6 - ( - LPAR
6 - hasTopping - PROPRIETY
6 - only - ONLY
6 - ( - LPAR
6 - CheeseTopping - CLASS_NAME
6 - or - LOGICAL
6 - VegetableTopping - CLASS_NAME
6 - ) - RPAR
6 - ) - RPAR
6 - Class: - CLASS
6 - PizzaBase - CLASS_NAME
6 - DisjointClasses: - DISJOINT
6 - Pizza - CLASS_NAME
6 - , - COMMA
6 - PizzaBase - CLASS_NAME
6 - , - COMMA
6 - PizzaTopping - CLASS_NAME
6 - Class: - CLASS
6 - PizzaTopping - CLASS_NAME
6 - DisjointClasses: - DISJOINT
6 - Pizza - CLASS_NAME
6 - , - COMMA
6 - PizzaBase - CLASS_NAME
6 - , - COMMA
6 - PizzaTopping - CLASS_NAME
6 - Class: - CLASS
6 - Spiciness - CLASS_NAME
6 - EquivalentTo: - EQUIVALENT
6 - { - LCURLY
6 - Hot - CLASS_NAME
6 - , - COMMA
6 - Medium - CLASS_NAME
6 - , - COMMA
6 - Mild - CLASS_NAME
6 - } - RCURLY
