Line - Token - Classification
77 - SohoPizza - CLASS_NAME
78 - Individuals: - INDIVIDUALS
79 - AmericanaPizza - CLASS_NAME
79 - 1 - NUMBER
79 - , - COMMA
80 - AmericanaPizza - CLASS_NAME
80 - 2 - NUMBER
81 - Class: - CLASS
81 - MargheritaPizza - CLASS_NAME
82 - SubClassOf: - SUBCLASS
83 - NamedPizza - CLASS_NAME
83 - , - COMMA
84 - hasTopping - PROPRIETY
84 - some - QUANTIFIER
84 - MozzarellaTopping - CLASS_NAME
84 - , - COMMA
85 - hasTopping - PROPRIETY
85 - some - QUANTIFIER
85 - TomatoTopping - CLASS_NAME
85 - , - COMMA
86 - hasTopping - PROPRIETY
86 - only - PROPRIETY
87 - ( - LPAR
87 - MozzarellaTopping - CLASS_NAME
87 - or - LOGICAL
87 - TomatoTopping - CLASS_NAME
87 - ) - RPAR
88 - DisjointClasses: - DISJOINT_CLASS
89 - AmericanaHotPizza - CLASS_NAME
89 - , - COMMA
89 - AmericanaPizza - CLASS_NAME
89 - , - COMMA
89 - MargheritaPizza - CLASS_NAME
89 - , - COMMA
89 - SohoPizza - CLASS_NAME
90 - Individuals: - INDIVIDUALS
91 - MargheritaPizza - CLASS_NAME
91 - 1 - NUMBER
91 - , - COMMA
92 - MargheritaPizza - CLASS_NAME
92 - 2 - NUMBER
93 - Class: - CLASS
93 - SohoPizza - CLASS_NAME
94 - SubClassOf: - SUBCLASS
95 - NamedPizza - CLASS_NAME
95 - , - COMMA
96 - hasTopping - PROPRIETY
96 - some - QUANTIFIER
96 - MozzarellaTopping - CLASS_NAME
96 - , - COMMA
97 - hasTopping - PROPRIETY
97 - some - QUANTIFIER
97 - OliveTopping - CLASS_NAME
97 - , - COMMA
98 - hasTopping - PROPRIETY
98 - some - QUANTIFIER
98 - ParmesanTopping - CLASS_NAME
98 - , - COMMA
99 - hasTopping - PROPRIETY
99 - some - QUANTIFIER
99 - TomatoTopping - CLASS_NAME
99 - , - COMMA
100 - hasTopping - PROPRIETY
100 - only - PROPRIETY
101 - ( - LPAR
101 - MozzarellaTopping - CLASS_NAME
101 - or - LOGICAL
101 - OliveTopping - CLASS_NAME
101 - or - LOGICAL
101 - ParmesanTopping - CLASS_NAME
101 - or - LOGICAL
101 - TomatoTopping - CLASS_NAME
101 - ) - RPAR
102 - DisjointClasses: - DISJOINT_CLASS
103 - AmericanaHotPizza - CLASS_NAME
103 - , - COMMA
103 - AmericanaPizza - CLASS_NAME
103 - , - COMMA
103 - MargheritaPizza - CLASS_NAME
103 - , - COMMA
103 - SohoPizza - CLASS_NAME
104 - Individuals: - INDIVIDUALS
105 - SohoPizza - CLASS_NAME
105 - 1 - NUMBER
105 - , - COMMA
106 - SohoPizza - CLASS_NAME
106 - 2 - NUMBER
107 - Class: - CLASS
107 - SpicyPizza - CLASS_NAME
108 - EquivalentTo: - EQUIVALENT
109 - Pizza - CLASS_NAME
110 - and - LOGICAL
110 - ( - LPAR
110 - hasTopping - PROPRIETY
110 - some - QUANTIFIER
110 - ( - LPAR
110 - hasSpiciness - PROPRIETY
110 - value - QUANTIFIER
110 - Hot - CLASS_NAME
110 - ) - RPAR
110 - ) - RPAR
111 - Class: - CLASS
111 - VegetarianPizza - CLASS_NAME
112 - EquivalentTo: - EQUIVALENT
113 - Pizza - CLASS_NAME
114 - and - LOGICAL
114 - ( - LPAR
114 - hasTopping - PROPRIETY
114 - only - PROPRIETY
115 - ( - LPAR
115 - CheeseTopping - CLASS_NAME
115 - or - LOGICAL
115 - VegetableTopping - CLASS_NAME
115 - ) - RPAR
115 - ) - RPAR
116 - Class: - CLASS
116 - PizzaBase - CLASS_NAME
117 - DisjointClasses: - DISJOINT_CLASS
118 - Pizza - CLASS_NAME
118 - , - COMMA
118 - PizzaBase - CLASS_NAME
118 - , - COMMA
118 - PizzaTopping - CLASS_NAME
119 - Class: - CLASS
119 - PizzaTopping - CLASS_NAME
120 - DisjointClasses: - DISJOINT_CLASS
121 - Pizza - CLASS_NAME
121 - , - COMMA
121 - PizzaBase - CLASS_NAME
121 - , - COMMA
121 - PizzaTopping - CLASS_NAME
122 - Class: - CLASS
122 - Spiciness - CLASS_NAME
123 - EquivalentTo: - EQUIVALENT
124 - { - LCURLY
124 - Hot - CLASS_NAME
124 - , - COMMA
124 - Medium - CLASS_NAME
124 - , - COMMA
124 - Mild - CLASS_NAME
124 - } - RCURLY
