Line - Token - Classification
102 - OffereeUnconditionalAgreement - CLASS_NAME
105 - Class: - CLASS
105 - CounterpartContribution - CLASS_NAME
108 - SubClassOf: - SUBCLASS
109 - Event - CLASS_NAME
109 - , - COMMA
110 - participatedIn - PROPRIETY
110 - only - ONLY
110 - DataCustomer - CLASS_NAME
110 - , - COMMA
111 - participatedIn - PROPRIETY
111 - min - QUANTIFIER
111 - 1 - NUMBER
111 - DataCustomer - CLASS_NAME
114 - Class: - CLASS
114 - CounterpartContributionType - CLASS_NAME
117 - SubClassOf: - SUBCLASS
118 - ConcreteIndividualType - CLASS_NAME
118 - , - COMMA
119 - instantiate - PROPRIETY
119 - some - SOME
119 - CounterpartContribution - CLASS_NAME
119 - , - COMMA
120 - instantiate - PROPRIETY
120 - only - ONLY
120 - CounterpartContribution - CLASS_NAME
123 - Class: - CLASS
123 - Data - CLASS_NAME
126 - SubClassOf: - SUBCLASS
127 - Resource - CLASS_NAME
127 - , - COMMA
128 - inheresIn - PROPRIETY
128 - some - SOME
128 - Metadata - CLASS_NAME
128 - , - COMMA
129 - inverse - PROPRIETY
129 - mediates - PROPRIETY
129 - some - SOME
129 - DataSovereigntyAct - CLASS_NAME
129 - , - COMMA
130 - inverse - PROPRIETY
130 - mediates - PROPRIETY
130 - some - SOME
130 - InvokeDataOperation - CLASS_NAME
130 - , - COMMA
131 - inverse - PROPRIETY
131 - mediates - PROPRIETY
131 - exactly - QUANTIFIER
131 - 1 - NUMBER
131 - Ownership - CLASS_NAME
134 - Class: - CLASS
134 - DataCustomer - CLASS_NAME
137 - SubClassOf: - SUBCLASS
138 - CoreParticipant - CLASS_NAME
138 - , - COMMA
139 - externallyDependsOn - PROPRIETY
139 - some - SOME
139 - ConditionalCommitment - CLASS_NAME
139 - , - COMMA
140 - externallyDependsOn - PROPRIETY
140 - some - SOME
140 - OfferorUnconditionalAgreement - CLASS_NAME
140 - , - COMMA
141 - participatedIn - PROPRIETY
141 - some - SOME
141 - Offer - CLASS_NAME
141 - , - COMMA
142 - calls - PROPRIETY
142 - some - SOME
142 - DataOperation - CLASS_NAME
142 - , - COMMA
143 - inheresIn - PROPRIETY
143 - some - SOME
143 - ConditionalClaim - CLASS_NAME
143 - , - COMMA
144 - inheresIn - PROPRIETY
144 - some - SOME
144 - OffereeUnconditionalAgreement - CLASS_NAME
144 - , - COMMA
145 - mediates - PROPRIETY
145 - some - SOME
145 - EconomicOffering - CLASS_NAME
145 - , - COMMA
146 - mediates - PROPRIETY
146 - some - SOME
146 - InvokeDataOperation - CLASS_NAME
146 - , - COMMA
147 - mediates - PROPRIETY
147 - some - SOME
147 - MetadataRetrival - CLASS_NAME
149 - DisjointWith: - DISJOINT
150 - DataSupplier - CLASS_NAME
153 - Class: - CLASS
153 - DataExchange - CLASS_NAME
